iter	Passed	Remaining
169	18921	92381
170	19013	92175
171	19109	91992
172	19202	91796
173	19309	91666
174	19418	91544
175	19519	91386
176	19611	91186
177	19715	91043
178	19806	90845
179	19899	90654
180	20005	90520
181	20040	90070
182	20128	89862
183	20215	89649
184	20302	89440
185	20388	89227
186	20473	89012
187	20564	88821
188	20611	88445
189	20702	88258
190	20785	88037
191	20872	87837
192	20966	87668
193	21054	87472
194	21144	87290
195	21228	87081
196	21317	86894
197	21376	86583
198	21434	86277
199	21526	86106
200	21613	85915
201	21693	85698
202	21781	85516
203	21873	85349
204	21976	85227
205	22078	85100
206	22178	84965
207	22289	84872
208	22400	84778
209	22497	84634
210	22582	84442
211	22699	84371
212	22787	84196
213	22854	83943
214	22936	83743
215	23041	83631
216	23090	83317
217	23190	83188
218	23292	83066
219	23420	83037
220	23538	82972
221	23645	82867
222	23740	82719
223	23839	82588
224	23942	82467
225	24043	82343
226	24146	82226
227	24251	82114
228	24356	82003
229	24426	81776
230	24536	81680
231	24631	81540
232	24722	81383
233	24826	81268
234	24932	81161
235	25043	81074
236	25153	80978
237	25268	80900
238	25362	80757
239	25464	80636
240	25566	80518
241	25652	80351
242	25740	80188
243	25830	80032
244	25919	79874
245	25985	79646
246	26039	79384
247	26125	79218
248	26209	79048
249	26315	78945
250	26420	78839
251	26529	78745
252	26639	78653
253	26725	78494
254	26824	78370
255	26930	78265
256	27045	78189
257	27147	78074
258	27236	77922
259	27333	77795
260	27430	77665
261	27539	77573
262	27633	77435
263	27725	77295
264	27828	77183
265	27930	77070
266	28029	76950
267	28136	76850
268	28245	76757
269	28334	76607
270	28424	76463
271	28514	76316
272	28600	76162
273	28666	75955
274	28752	75800
275	28838	75648
276	28922	75489
277	29006	75334
278	29097	75195
279	29188	75055
280	29273	74903
281	29368	74775
282	29456	74630
283	29547	74493
284	29623	74319
285	29713	74180
286	29802	74038
287	29862	73827
288	29948	73679
289	30044	73557
290	30136	73424
291	30227	73291
292	30296	73104
293	30384	72963
294	30482	72847
295	30572	72713
296	30671	72599
297	30760	72461
298	30848	72324
299	30937	72187
300	31023	72045
301	31113	71911
302	31200	71771
303	31285	71626
304	31373	71489
305	31459	71350
306	31531	71177
307	31621	71046
308	31707	70904
309	31793	70765
310	31881	70631
311	31964	70485
312	32031	70306
313	32099	70128
314	32186	69992
315	32261	69832
316	32347	69695
317	32438	69569
318	32527	69440
319	32624	69326
320	32715	69201
321	32787	69037
322	32875	68906
323	32964	68778
324	33056	68656
325	33148	68534
326	33219	68369
327	33305	68236
328	33395	68110
329	33483	67980
330	33573	67857
331	33665	67736
332	33761	67624
333	33866	67529
334	33958	67410
335	34044	67278
336	34133	67152
337	34206	66995
338	34251	66784
339	34342	66664
340	34434	66546
341	34481	66340
342	34565	66207
343	34658	66092
344	34715	65908
345	34804	65786
346	34860	65602
347	34950	65481
348	35053	65387
349	35145	65269
350	35232	65144
351	35317	65016
352	35405	64893
353	35499	64780
354	35585	64654
355	35672	64531
356	35758	64406
357	35857	64303
358	35956	64200
359	36047	64084
360	36145	63980
361	36233	63859
362	36329	63751
363	36400	63600
364	36487	63478
365	36574	63356
366	36663	63236
367	36750	63114
368	36835	62989
369	36923	62869
370	37014	62755
371	37100	62631
372	37191	62517
373	37263	62371
374	37354	62257
375	37449	62150
376	37535	62028
377	37621	61906
378	37707	61784
379	37794	61664
380	37867	61522
381	37950	61396
382	38022	61253
383	38093	61107
384	38177	60985
385	38265	60867
386	38313	60688
387	38399	60568
388	38488	60454
389	38586	60353
390	38709	60292
391	38803	60185
392	38891	60069
393	38989	59968
394	39087	59867
395	39175	59752
396	39269	59646
397	39349	59518
398	39458	59434
399	39537	59306
400	39651	59230
401	39748	59128
402	39850	59033
403	39942	58925
404	39988	58748
405	40076	58634
406	40169	58527
407	40260	58417
408	40354	58311
409	40444	58200
410	40602	58186
411	40696	58080
412	40780	57961
413	40953	57968
414	41050	57866
415	41261	57924
416	41372	57841
417	41531	57826
418	41621	57713
419	41707	57595
420	41785	57467
421	41872	57351
422	41963	57241
423	42034	57103
424	42121	56988
425	42177	56830
426	42274	56728
427	42360	56612
428	42440	56488
429	42528	56374
430	42616	56261
431	42704	56148
432	42788	56030
433	42878	55919
434	42965	55805
435	43055	55695
436	43145	55585
437	43234	55474
438	43324	55365
439	43410	55249
440	43499	55139
441	43590	55030
442	43687	54929
443	43771	54813
444	43860	54702
445	43946	54588
446	44028	54468
447	44099	54337
448	44188	54227
449	44276	54115
450	44366	54007
451	44450	53891
452	44540	53782
453	44633	53678
454	44719	53565
455	44807	53454
456	44896	53345
457	44970	53218
458	45063	53113
459	45150	53002
460	45236	52890
461	45321	52776
462	45404	52661
463	45533	52598
464	45699	52578
465	45804	52488
466	45869	52352
467	45959	52244
468	46049	52137
469	46131	52020
470	46231	51924
471	46350	51849
472	46480	51786
473	46600	51712
474	46691	51605
475	46779	51496
476	46864	51383
477	46953	51275
478	47017	51139
479	47135	51063
480	47275	51010
481	47441	50985
482	47550	50897
483	47693	50846
484	47839	50799
485	47962	50725
486	48111	50680
487	48243	50615
488	48352	50527
489	48456	50434
490	48559	50339
491	48654	50236
492	48754	50139
493	48846	50032
494	48916	49904
495	49028	49819
496	49130	49724
497	49235	49631
498	49320	49518
499	49405	49405
500	49496	49298
501	49583	49188
502	49673	49080
503	49765	48975
504	49851	48864
505	49939	48754
506	50028	48646
507	50115	48536
508	50199	48424
509	50289	48317
510	50378	48209
511	50462	48096
512	50550	47988
513	50645	47886
514	50728	47773
515	50816	47665
516	50878	47532
517	50933	47393
518	51018	47283
519	51104	47173
520	51190	47063
521	51276	46954
522	51361	46844
523	51450	46737
524	51520	46613
525	51602	46501
526	51661	46367
527	51748	46259
528	51835	46152
529	51919	46042
530	52005	45932
531	52091	45825
532	52176	45715
533	52262	45607
534	52351	45501
535	52431	45388
536	52517	45280
537	52619	45185
538	52705	45078
539	52792	44971
540	52878	44863
541	52967	44758
542	53052	44650
543	53125	44531
544	53209	44422
545	53297	44317
546	53383	44209
547	53479	44110
548	53570	44007
549	53660	43904
550	53717	43773
551	53799	43663
552	53885	43556
553	53971	43449
554	54054	43340
555	54138	43233
556	54226	43128
557	54314	43023
558	54401	42918
559	54494	42817
560	54588	42717
561	54675	42612
562	54763	42507
563	54851	42403
564	54938	42297
565	55023	42191
566	55122	42095
567	55211	41991
568	55316	41900
569	55413	41803
570	55503	41700
571	55600	41603
572	55687	41498
573	55759	41382
574	55846	41277
575	55929	41170
576	56017	41066
577	56105	40962
578	56190	40857
579	56275	40751
580	56364	40648
581	56459	40550
582	56564	40458
583	56653	40356
584	56739	40251
585	56826	40147
586	56915	40044
587	57000	39938
588	57085	39833
589	57174	39731
590	57254	39622
591	57341	39519
592	57428	39415
593	57515	39311
594	57605	39210
595	57689	39105
596	57779	39003
597	57866	38900
598	57954	38797
599	58040	38693
600	58127	38590
601	58220	38491
602	58305	38386
603	58395	38285
604	58482	38182
605	58574	38083
606	58663	37981
607	58749	37878
608	58843	37779
609	58929	37676
610	58984	37552
611	59067	37447
612	59151	37343
613	59238	37241
614	59291	37117
615	59376	37013
616	59466	36913
617	59562	36816
618	59650	36715
619	59737	36613
620	59823	36510
621	59911	36409
622	59984	36298
623	60066	36194
624	60151	36091
625	60240	35990
626	60326	35887
627	60410	35784
628	60498	35683
629	60585	35582
630	60672	35480
631	60762	35380
632	60852	35281
633	60939	35179
634	60981	35052
635	61064	34948
636	61150	34847
637	61236	34745
638	61327	34646
639	61415	34546
640	61498	34442
641	61591	34345
642	61677	34244
643	61765	34143
644	61846	34039
645	61931	33937
646	62021	33838
647	62108	33737
648	62196	33637
649	62280	33535
650	62367	33434
651	62464	33340
652	62574	33251
653	62700	33171
654	62788	33071
655	62873	32970
656	62960	32869
657	63053	32772
658	63140	32672
659	63223	32569
660	63310	32469
661	63381	32360
662	63468	32260
663	63568	32167
664	63663	32070
665	63749	31970
666	63834	31869
667	63917	31767
668	64003	31666
669	64087	31565
670	64174	31465
671	64260	31365
672	64345	31264
673	64431	31164
674	64517	31064
675	64611	30967
676	64698	30867
677	64781	30766
678	64866	30665
679	64952	30565
680	65035	30464
681	65117	30362
682	65203	30262
683	65289	30163
684	65374	30062
685	65430	29949
686	65517	29849
687	65610	29753
688	65697	29654
689	65783	29555
690	65874	29457
691	65959	29357
692	66047	29259
693	66137	29161
694	66230	29065
695	66320	28967
696	66409	28869
697	66495	28770
698	66585	28672
699	66717	28593
700	66813	28498
701	66917	28406
702	67034	28320
703	67159	28237
704	67257	28143
705	67350	28046
706	67445	27951
707	67557	27862
708	67658	27769
709	67755	27674
710	67843	27576
711	67933	27478
712	68023	27381
713	68110	27282
714	68218	27192
715	68360	27115
716	68477	27028
717	68628	26954
718	68726	26859
719	68819	26763
720	68910	26665
721	68997	26566
722	69088	26469
723	69177	26371
724	69264	26272
725	69350	26173
726	69437	26074
727	69526	25977
728	69614	25878
729	69706	25781
730	69792	25682
731	69882	25585
732	69968	25486
733	70058	25389
734	70148	25291
735	70240	25194
736	70333	25098
737	70423	25001
738	70509	24902
739	70615	24810
740	70709	24714
741	70808	24620
742	70901	24524
743	70990	24426
744	71088	24332
745	71174	24233
746	71272	24139
747	71378	24047
748	71471	23950
749	71576	23858
750	71665	23761
751	71756	23664
752	71847	23567
753	71950	23474
754	72053	23381
755	72145	23285
756	72235	23187
757	72356	23100
758	72467	23010
759	72590	22923
760	72687	22828
761	72794	22736
762	72882	22638
763	72976	22542
764	73288	22513
765	73469	22443
766	73605	22359
767	73784	22289
768	73928	22207
769	74075	22126
770	74222	22045
771	74369	21963
772	74515	21882
773	74637	21793
774	74778	21709
775	74908	21623
776	75051	21539
777	75199	21457
778	75312	21365
779	75425	21273
780	75540	21182
781	75647	21088
782	75732	20988
783	75822	20889
784	75915	20792
785	76020	20697
786	76227	20630
787	76374	20547
788	76521	20463
789	76647	20374
790	76777	20286
791	77023	20228
792	77184	20147
793	77327	20062
794	77467	19976
795	77638	19897
796	77780	19811
797	77965	19735
798	78193	19670
799	78348	19587
800	78504	19503
801	78659	19419
802	78789	19329
803	78902	19234
804	79034	19144
805	79160	19053
806	79280	18960
807	79402	18868
808	79547	18780
809	79647	18682
810	79761	18588
811	79879	18494
812	80049	18412
813	80198	18325
814	80315	18231
815	80425	18135
816	80548	18042
817	80670	17948
818	80788	17854
819	80884	17755
820	80991	17658
821	81091	17559
822	81195	17462
823	81297	17364
824	81393	17265
825	81490	17166
826	81596	17069
827	81691	16969
828	81784	16869
829	81875	16769
830	81966	16669
831	82052	16568
832	82141	16467
833	82246	16370
834	82356	16274
835	82466	16177
836	82591	16084
837	82683	15984
838	82782	15885
839	82874	15785
840	82982	15688
841	83094	15592
842	83192	15493
843	83289	15394
844	83403	15298
845	83527	15204
846	83694	15118
847	83846	15029
848	83963	14933
849	84101	14841
850	84204	14743
851	84307	14644
852	84423	14548
853	84612	14465
854	84726	14368
855	84841	14272
856	85036	14189
857	85158	14093
858	85279	13998
859	85421	13905
860	85576	13815
861	85732	13725
862	85846	13627
863	85957	13530
864	86087	13435
865	86185	13335
866	86286	13236
867	86402	13139
868	86513	13041
869	86624	12943
870	86713	12842
871	86804	12741
872	86907	12642
873	86999	12542
874	87121	12445
875	87217	12345
876	87308	12245
877	87398	12144
878	87486	12043
879	87593	11944
880	87694	11845
881	87781	11744
882	87871	11643
883	87965	11543
884	88053	11441
885	88144	11341
886	88231	11240
887	88318	11139
888	88402	11037
889	88497	10937
890	88587	10837
891	88675	10736
892	88766	10636
893	88851	10534
894	88946	10435
895	89052	10336
896	89166	10238
897	89272	10140
898	89384	10042
899	89485	9942
900	89595	9844
901	89682	9743
902	89773	9643
903	89869	9543
904	89963	9443
905	90052	9343
906	90149	9243
907	90241	9143
908	90337	9043
909	90429	8943
910	90523	8843
911	90613	8743
912	90707	8643
913	90818	8545
914	90911	8445
915	91031	8347
916	91147	8249
917	91259	8151
918	91352	8051
919	91441	7951
920	91551	7852
921	91648	7753
922	91745	7653
923	91832	7553
924	91937	7454
925	92042	7355
926	92131	7255
927	92219	7154
928	92311	7055
929	92409	6955
930	92509	6856
931	92608	6756
932	92701	6657
933	92788	6556
934	92877	6456
935	92977	6357
936	93049	6256
937	93138	6156
938	93222	6055
939	93314	5956
940	93400	5856
941	93502	5757
942	93607	5658
943	93700	5558
944	93790	5458
945	93874	5358
946	93961	5258
947	94048	5158
948	94145	5059
949	94237	4959
950	94327	4860
951	94414	4760
952	94510	4661
953	94612	4562
954	94708	4462
955	94799	4363
956	94884	4263
957	94991	4164
958	95098	4065
959	95199	3966
960	95314	3868
961	95430	3769
962	95525	3670
963	95611	3570
964	95703	3471
965	95793	3371
966	95889	3272
967	95982	3172
968	96072	3073
969	96157	2973
970	96243	2874
971	96327	2774
972	96416	2675
973	96503	2576
974	96598	2476
975	96683	2377
976	96774	2278
977	96862	2178
978	96955	2079
979	97044	1980
980	97132	1881
981	97234	1782
982	97337	1683
983	97433	1584
984	97522	1485
985	97613	1385
986	97710	1286
987	97794	1187
988	97882	1088
989	97976	989
990	98066	890
991	98172	791
992	98265	692
993	98356	593
994	98444	494
995	98546	395
996	98635	296
997	98723	197
998	98809	98
999	98897	0
