iter	Logloss
115	0.4615257571
116	0.4608655097
117	0.4599943011
118	0.4593892742
119	0.4588895246
120	0.4576320477
121	0.4571170081
122	0.4562441395
123	0.4553704552
124	0.4549307526
125	0.4537214945
126	0.4528088053
127	0.4519540537
128	0.4515282092
129	0.4508021054
130	0.4501974383
131	0.4494222968
132	0.4488077356
133	0.4477650132
134	0.4472769098
135	0.4463576854
136	0.445018268
137	0.4444096583
138	0.4439474105
139	0.442904427
140	0.4420874802
141	0.4410584913
142	0.4400284001
143	0.4395783313
144	0.4393489796
145	0.4390045177
146	0.4384158088
147	0.4378394669
148	0.4369542879
149	0.4362622402
150	0.4353580308
151	0.4349504967
152	0.4346063049
153	0.4337267212
154	0.432753043
155	0.4318284517
156	0.4310300994
157	0.4307276776
158	0.4302715291
159	0.4299050407
160	0.4295672707
161	0.4291978697
162	0.4286229252
163	0.4279782016
164	0.4272473908
165	0.4267222991
166	0.4259906056
167	0.4254888643
168	0.4249132162
169	0.4242715598
170	0.4235838787
171	0.423087442
172	0.4224118196
173	0.4218610613
174	0.4214510117
175	0.4209542494
176	0.4202460484
177	0.4195082268
178	0.4190055519
179	0.4181505664
180	0.4174796552
181	0.4173888856
182	0.4168821698
183	0.4162840109
184	0.4152991873
185	0.4147725581
186	0.4144463687
187	0.4141069005
188	0.4139819356
189	0.4135461927
190	0.4131139229
191	0.4127642915
192	0.4124832802
193	0.4120911973
194	0.411494232
195	0.4111662183
196	0.4104950905
197	0.410281528
198	0.4099950209
199	0.4092994661
200	0.4088420675
201	0.408534276
202	0.4080043124
203	0.4073990282
204	0.4068413835
205	0.4064752568
206	0.4061650745
207	0.4054358241
208	0.4049263955
209	0.4041295487
210	0.4038730071
211	0.402998671
212	0.4028011013
213	0.4025830368
214	0.4024444
215	0.401866213
216	0.4017464063
217	0.4011093307
218	0.4004453419
219	0.3999928163
220	0.3993362312
221	0.3986631006
222	0.3982420597
223	0.3979011765
224	0.3974892314
225	0.3967249926
226	0.3960491145
227	0.3953540927
228	0.3949548388
229	0.3948033678
230	0.3941065835
231	0.3939093252
232	0.3936508838
233	0.3930185897
234	0.392554872
235	0.3922144601
236	0.3916919163
237	0.3913161843
238	0.3906966638
239	0.3903895444
240	0.3893201684
241	0.3889057247
242	0.3885121616
243	0.3879681595
244	0.3873756046
245	0.3870806986
246	0.3870471083
247	0.3865808001
248	0.3860607001
249	0.3856701483
250	0.3850743964
251	0.3842486992
252	0.3837515297
253	0.3835176936
254	0.3831027231
255	0.3827256297
256	0.3820382676
257	0.3816657671
258	0.3813667492
259	0.3810687658
260	0.3803059862
261	0.3797418432
262	0.379244319
263	0.3789716508
264	0.3785445498
265	0.3781295088
266	0.3774881728
267	0.3770796
268	0.3767903739
269	0.3764817071
270	0.3759331405
271	0.3756375696
272	0.3749945036
273	0.3749515313
274	0.3747220518
275	0.3742927559
276	0.374041689
277	0.3736332643
278	0.3732523255
279	0.3729789152
280	0.3725658657
281	0.3720901589
282	0.3717135516
283	0.3714833353
284	0.3712592842
285	0.3705474587
286	0.3700676389
287	0.3699232898
288	0.3695493065
289	0.3691479736
290	0.368764459
291	0.3678887449
292	0.3675104138
293	0.3672227154
294	0.3667025655
295	0.3660046042
296	0.3656323631
297	0.3653940241
298	0.3648561757
299	0.3645861015
300	0.3639771983
301	0.3637908236
302	0.3635486626
303	0.363018016
304	0.3626242591
305	0.3621522512
306	0.3618555157
307	0.3612950461
308	0.361114734
309	0.3608156174
310	0.3604748948
311	0.3600377209
312	0.3598137009
313	0.3596945733
314	0.359456294
315	0.3592923466
316	0.359039258
317	0.3587086748
318	0.3583517785
319	0.3578637882
320	0.3573699343
321	0.3570299667
322	0.3566007891
323	0.3561042698
324	0.355552987
325	0.35501122
326	0.3545902073
327	0.3539152468
328	0.3534648276
329	0.3532148752
330	0.3527048921
331	0.3523009835
332	0.3520330283
333	0.3516789952
334	0.3514146513
335	0.3510204062
336	0.3504369993
337	0.3501947116
338	0.3500744861
339	0.3497149508
340	0.3492785714
341	0.349244411
342	0.3490293542
343	0.3486414539
344	0.3485992799
345	0.348281444
346	0.3482307992
347	0.3481136422
348	0.3474773115
349	0.3471695648
350	0.346933077
351	0.3463315547
352	0.3460263621
353	0.345589097
354	0.3451522275
355	0.344743665
356	0.3439333466
357	0.3437345833
358	0.3432712221
359	0.3429704088
360	0.3426276398
361	0.342316951
362	0.3417753145
363	0.3417033056
364	0.3414984993
365	0.3413278546
366	0.3410491327
367	0.34066175
368	0.3403850199
369	0.3399404898
370	0.3395957097
371	0.3391339699
372	0.3388095094
373	0.3386948357
374	0.3383011422
375	0.3379377165
376	0.3373262613
377	0.3371822173
378	0.3370837436
379	0.3366732256
380	0.3364934667
381	0.3360908692
382	0.3359509785
383	0.3357817301
384	0.335719561
385	0.3350908247
386	0.3350693774
387	0.3349436499
388	0.3346667162
389	0.3343159803
390	0.3340962619
391	0.3338574694
392	0.3337073256
393	0.3335453815
394	0.3331460566
395	0.3329499733
396	0.3327034806
397	0.3325115731
398	0.3320584783
399	0.33197357
400	0.3314931655
401	0.3312620604
402	0.3310163867
403	0.3307505178
404	0.3307179344
405	0.3303836875
406	0.3301101926
407	0.3299178954
408	0.3296994564
409	0.3294091594
410	0.3291109493
411	0.3286526788
412	0.3284527785
413	0.3281460301
414	0.3280281403
415	0.3277451982
416	0.3276096472
417	0.3273683024
418	0.3269865884
419	0.3265617193
420	0.3263402202
421	0.3260899257
422	0.3256537787
423	0.3253103404
424	0.3251463454
425	0.3250871253
426	0.3248299654
427	0.3245905945
428	0.3244879646
429	0.323734664
430	0.3235302999
431	0.3229722845
432	0.3227951228
433	0.3223797588
434	0.3220594074
435	0.3215759646
436	0.3211014533
437	0.3208768951
438	0.3203639437
439	0.3198809813
440	0.3195973634
441	0.3193545946
442	0.3190257176
443	0.3187843759
444	0.3184429932
445	0.3180494285
446	0.3178850876
447	0.3175979274
448	0.317163334
449	0.3169679378
450	0.3168563702
451	0.3165531282
452	0.3161877966
453	0.3159064458
454	0.3154970694
455	0.3153146032
456	0.3151204554
457	0.3150398032
458	0.3147923939
459	0.3144702545
460	0.3141709372
461	0.3139351831
462	0.3136812997
463	0.3133984137
464	0.3129230684
465	0.3126304551
466	0.3125606075
467	0.3123311562
468	0.3117590717
469	0.3116581495
470	0.3114921524
471	0.3113834638
472	0.3110804843
473	0.3109021927
474	0.3106639766
475	0.3103686136
476	0.3101621625
477	0.3098676369
478	0.3098084916
479	0.3094675578
480	0.309107275
481	0.3088221149
482	0.3087376731
483	0.3082886503
484	0.3077590122
485	0.3074433654
486	0.3069929842
487	0.306632046
488	0.3061568576
489	0.3057388437
490	0.3054302335
491	0.3050372865
492	0.3049091827
493	0.3043154295
494	0.3042804437
495	0.3042496691
496	0.3041887867
497	0.3040589376
498	0.3038478402
499	0.3037062597
500	0.3034871932
501	0.3029142791
502	0.3024267851
503	0.3020930215
504	0.3017209609
505	0.3014326518
506	0.3012131268
507	0.3009451023
508	0.3004133962
509	0.2998867567
510	0.2996450547
511	0.299500828
512	0.2991635959
513	0.2990132137
514	0.2986997459
515	0.2984062038
516	0.2983568739
517	0.2982425762
518	0.2980548926
519	0.2977154135
520	0.2970796448
521	0.2968813166
522	0.2965828134
523	0.2963377039
524	0.29628052
525	0.2960055893
526	0.2959821302
527	0.2957740874
528	0.2956424549
529	0.2954269197
530	0.2950740687
531	0.2948063012
532	0.2947724908
533	0.2946267251
534	0.2944967498
535	0.2944071365
536	0.2942083152
537	0.2938307021
538	0.2936289241
539	0.2935015005
540	0.2933895486
541	0.2932015365
542	0.2930785724
543	0.292840655
544	0.2926570632
545	0.2924861751
546	0.2918572833
547	0.2917055602
548	0.2915666073
549	0.2913916382
550	0.2912498144
551	0.2910298327
552	0.2908082709
553	0.2904210934
554	0.2902666803
555	0.2900144729
556	0.2896075702
557	0.2892509126
558	0.2891113893
559	0.2887922666
560	0.2885549111
561	0.2883403586
562	0.2880355137
563	0.287832158
564	0.2876809061
565	0.2874763982
566	0.2874143673
567	0.2868392887
568	0.2864929861
569	0.2863087302
570	0.2861901315
571	0.2860032552
572	0.285813152
573	0.2857041254
574	0.285313751
575	0.2851135668
576	0.284996343
577	0.2847961581
578	0.2844598093
579	0.2842406657
580	0.284161641
581	0.283997714
582	0.2837181754
583	0.2832494509
584	0.2830391258
585	0.2828676785
586	0.2827126116
587	0.2824942714
588	0.2821778508
589	0.2818637938
590	0.2817059095
591	0.2815341816
592	0.2813825507
593	0.2809497248
594	0.2806936681
595	0.2804493395
596	0.2801230755
597	0.2799508743
598	0.2798759064
599	0.2795134371
600	0.2792329764
601	0.2790688094
602	0.2789539521
603	0.2785196963
604	0.2780546789
605	0.2778618163
606	0.2775746319
607	0.2772468076
608	0.2770050154
609	0.2767048273
610	0.2766632322
611	0.2764404987
612	0.276273234
613	0.2760715043
614	0.2760570778
615	0.2757837025
616	0.2755725002
617	0.2751771261
618	0.2750201847
619	0.2747953403
620	0.2746572649
621	0.2744380555
622	0.2744134515
623	0.2742522126
624	0.2739350621
625	0.2738073089
626	0.2737180286
627	0.2731744673
628	0.2730945513
629	0.2725039337
630	0.2722091443
631	0.2721081723
632	0.2717442745
633	0.2715316537
634	0.2715229897
635	0.2713402386
636	0.2713096444
637	0.2711759454
638	0.2709840488
639	0.2708050272
640	0.2705820216
641	0.2703954959
642	0.2701966727
643	0.2698322966
644	0.2695923854
645	0.2693487254
646	0.269242288
647	0.2691066483
648	0.2688517198
649	0.2684391238
650	0.2682850406
651	0.2680995235
652	0.2679596557
653	0.2679414037
654	0.2675838967
655	0.2674888183
656	0.2673113441
657	0.2671639736
658	0.2670415921
659	0.2668199301
660	0.2666803724
661	0.2666041344
662	0.2660328525
663	0.2657773877
664	0.2656009327
665	0.2652952231
666	0.2649849748
667	0.2648218774
668	0.264667099
669	0.26436641
670	0.2641787486
671	0.2638884796
672	0.2637526106
673	0.2636852516
674	0.2634063056
675	0.2631284943
676	0.2629174642
677	0.262801786
678	0.2627209721
679	0.2625959683
680	0.2623904372
681	0.2621521163
682	0.2619705194
683	0.2617920487
684	0.2617365084
685	0.2617281751
686	0.2616044413
687	0.2614525441
688	0.2612704281
689	0.2610733739
690	0.2610378619
691	0.2605876304
692	0.2604324576
693	0.2601852674
694	0.2600667959
695	0.2599618244
696	0.2596911615
697	0.2593458117
698	0.2591164681
699	0.2589586048
700	0.2586014841
701	0.2582188714
702	0.2579123561
703	0.2577731854
704	0.257521284
705	0.2574201716
706	0.2572315365
707	0.2571159182
708	0.2570449939
709	0.2567412531
710	0.2566302891
711	0.2564052145
712	0.2559193423
713	0.2558906343
714	0.2556383012
715	0.2553257431
716	0.255112698
717	0.2546355864
718	0.2545353406
719	0.25446122
720	0.2541551929
721	0.2539618807
722	0.2538153814
723	0.253723124
724	0.2536325841
725	0.2533983573
726	0.253079335
727	0.2529953112
728	0.2527742667
729	0.2526155212
730	0.2523052935
731	0.2521740921
732	0.251694763
733	0.2514854642
734	0.2513990202
735	0.251326654
736	0.2510061959
737	0.2509346518
738	0.2508701952
739	0.2508061521
740	0.2506442338
741	0.2503658905
742	0.2501420822
743	0.2500711293
744	0.2499488109
745	0.2499149557
746	0.2497981882
747	0.2496833656
748	0.2495251139
749	0.2491033311
750	0.2489144653
751	0.2488535972
752	0.2486082704
753	0.2485645927
754	0.2483651283
755	0.2481181297
756	0.2481049197
757	0.2479899636
758	0.2476112263
759	0.2475078678
760	0.2473450365
761	0.2472336949
762	0.2469526111
763	0.2469076191
764	0.246744367
765	0.2465595593
766	0.246113879
767	0.2458848226
768	0.2452988407
769	0.2451127055
770	0.244960536
771	0.2445804426
772	0.2444372622
773	0.2442735866
774	0.2441610148
775	0.2439823162
776	0.2438171879
777	0.243675153
778	0.2434622964
779	0.2431697518
780	0.2430925247
781	0.2430211592
782	0.2428032894
783	0.2425235842
784	0.2420859431
785	0.2418251332
786	0.2416285291
787	0.241511318
788	0.2412996302
789	0.2409781387
790	0.2408910493
791	0.2406744651
792	0.2405505026
793	0.240380053
794	0.240093643
795	0.2399214149
796	0.2396100743
797	0.2394416286
798	0.2394360898
799	0.2391722273
800	0.2390777868
801	0.2387609682
802	0.2385480228
803	0.2383642535
804	0.238124042
805	0.2380825878
806	0.2379959804
807	0.2378663969
808	0.237460778
809	0.237189112
810	0.2371551544
811	0.2370072957
812	0.2367233665
813	0.2365538036
814	0.2364535884
815	0.2364103464
816	0.2361895479
817	0.2360531255
818	0.2357611878
819	0.2354938081
820	0.2352533309
821	0.2351055316
822	0.2348038821
823	0.2346654829
824	0.2344775823
825	0.2343336288
826	0.234299724
827	0.2341898429
828	0.2339918791
829	0.2338975851
830	0.2337218247
831	0.2336557136
832	0.2333337123
833	0.23329644
834	0.2330434909
835	0.2328584461
836	0.2324532689
837	0.232135581
838	0.232105719
839	0.2319072554
840	0.2318792838
841	0.2318066171
842	0.2317800809
843	0.2316440975
844	0.2312211488
845	0.2311248749
846	0.2310545879
847	0.2307913402
848	0.23063189
849	0.2302301892
850	0.2302255684
851	0.2301385519
852	0.2299768244
853	0.2299492816
854	0.2298655461
855	0.2298214713
856	0.2297144206
857	0.2295309958
858	0.2294000221
859	0.2291706418
860	0.228891348
861	0.2287642838
862	0.2287269716
863	0.2285654125
864	0.2284419694
865	0.228348577
866	0.2281966903
867	0.2279767571
868	0.2279656359
869	0.227716083
870	0.2275458249
871	0.2274176728
872	0.2272473395
873	0.2272375052
874	0.2270665321
875	0.2270102076
876	0.2268174029
877	0.2266161532
878	0.2264658326
879	0.2264122762
880	0.2262231246
881	0.226182505
882	0.2261180665
883	0.22591415
884	0.2257330573
885	0.2255362576
886	0.2252561301
887	0.2249367498
888	0.2248123383
889	0.2246510087
890	0.2244879016
891	0.2241073288
892	0.2240521514
893	0.223813791
894	0.2236618069
895	0.223509853
896	0.2233945902
897	0.2231041631
898	0.2229115498
899	0.2226239773
900	0.222506394
901	0.2224260894
902	0.2223875852
903	0.2220920896
904	0.2218484208
905	0.2217353565
906	0.2215636622
907	0.2215518038
908	0.2215078557
909	0.2211378771
910	0.2209576413
911	0.2205959757
912	0.2203397527
913	0.2201369769
914	0.2200051797
915	0.2195917991
916	0.2194091006
917	0.219093712
918	0.2188584584
919	0.2188049029
920	0.2187788349
921	0.218750371
922	0.2185820875
923	0.2184903652
924	0.2184575672
925	0.2184179399
926	0.2183166049
927	0.2182504814
928	0.2181513854
929	0.2177745743
930	0.2176755158
931	0.2175071896
932	0.2173594056
933	0.2172710103
934	0.2171069083
935	0.2169205932
936	0.2169147744
937	0.2168791048
938	0.2168742523
939	0.2167758727
940	0.2165773615
941	0.2165473939
942	0.2164201207
943	0.2161935129
944	0.2161816897
945	0.2161749556
946	0.2161509741
947	0.215986173
948	0.2156745747
949	0.2155869386
950	0.2154765499
951	0.2153001971
952	0.2149803982
953	0.2146964697
954	0.2144899398
955	0.2142715186
956	0.2141394222
957	0.2138855638
958	0.2137622369
959	0.2134825861
960	0.2134621453
961	0.2132981608
962	0.2132412913
963	0.2131116966
964	0.2129035805
965	0.2128950085
966	0.2127475404
967	0.2126329861
968	0.212561267
969	0.2122267198
970	0.2122050488
971	0.2120030622
972	0.2117573492
973	0.2115429871
974	0.2114429026
975	0.2113495019
976	0.2110258573
977	0.2107625943
978	0.2106677349
979	0.210479681
980	0.2103005981
981	0.2100535408
982	0.209892092
983	0.209851705
984	0.2098077883
985	0.2097415226
986	0.2095049958
987	0.2091716217
988	0.2091387294
989	0.2086878543
990	0.2085774241
991	0.2085738611
992	0.2084692773
993	0.2082274262
994	0.2081262316
995	0.2080595625
996	0.2079251811
997	0.2076678059
998	0.207512628
999	0.2073687339
